job_title,keywords,recommended_courses,skills,education_required,domain,tools,courses,
Data Scientist,"python, machine learning, pandas, numpy, statistics, data visualization",Data Science with Python - https://www.coursera.org/specializations/data-science-python; Machine Learning by Andrew Ng - https://www.coursera.org/learn/machine-learning; R Programming for Data Analysis - https://www.datacamp.com/courses/free-introduction-to-r,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
Web Developer,"html, css, javascript, mysql, flask, web development, frontend, backend",Complete Python Bootcamp - https://www.udemy.com/course/complete-python-bootcamp; Full Stack Web Development - https://www.coursera.org/learn/full-stack-web-development; JavaScript Algorithms and Data Structures - https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures,"html, css, flask, javascript, mysql",B.E IT; B.Tech CS; BCA; MCA,IT / Web Development,"VSCode, GitHub, MySQL",HTML/CSS; Flask; JavaScript,
AI Engineer,"deep learning, tensorflow, pytorch, neural networks, NLP",Machine Learning by Andrew Ng - https://www.coursera.org/learn/machine-learning; Deep Learning Specialization - https://www.coursera.org/specializations/deep-learning; AI For Everyone - https://www.coursera.org/learn/ai-for-everyone,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
Android Developer,"java, kotlin, android sdk, xml, android studio",Android App Development Masterclass - https://www.udemy.com/course/master-android-app-development; Developing Android Apps with Kotlin - https://www.udacity.com/course/developing-android-apps-with-kotlin--ud9012; Build Your First App in Android Studio - https://developer.android.com/courses/pathways/android-basics,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
iOS Developer,"swift, xcode, ios sdk, objective-c",iOS App Development with Swift - https://www.coursera.org/learn/ios-app-development; iOS 16 & Swift 5 - https://www.udemy.com/course/ios-13-app-development-bootcamp; Building iOS Apps with SwiftUI - https://developer.apple.com/tutorials/swiftui,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
UI/UX Designer,"figma, adobe xd, wireframes, prototypes, design thinking",UI/UX Design Bootcamp - https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd; User Experience Design Essentials - https://www.coursera.org/learn/ux-design; Figma for UI/UX Design - https://www.skillshare.com/classes/Figma-for-UIUX-Design,"photoshop, illustrator, figma",B.Des; BFA; Any Design Degree,Design,"Adobe Suite, Figma",UI/UX; Visual Design,
Digital Marketer,"seo, sem, google ads, analytics, social media marketing, digital marketing",SEO Fundamentals - https://www.coursera.org/learn/seo; Google Ads Certification - https://skillshop.withgoogle.com; Content Marketing Strategy - https://www.udemy.com/course/content-marketing,"seo, social media, google ads",BBA; MBA; BA Marketing,Marketing,"Google Analytics, Canva",Digital Marketing; Branding,
Marketing Manager,"digital marketing, market research, branding, product strategy, consumer behavior, marketing campaigns, business growth, strategic marketing, lead generation","digital marketing, communication, campaign management, creativity, branding, marketing, analytics",bba;mba;marketing,marketing,"Power BI, Canva, Google Analytics",Digital Marketing Specialization – Coursera; Marketing Analytics – edX; Strategic Marketing – Udemy,,
HR Manager,"recruitment, payroll, compliance, training, onboarding, human resources, hr, hr trainee, conflict management, employee relations",Human Resource Management - https://www.coursera.org/specializations/human-resource-management; People Management Skills - https://www.edx.org/course/people-management; HR Analytics - https://www.coursera.org/learn/hr-analytics,"recruitment, payroll, communication",BBA; MBA HR,Human Resources,"Excel, HRMS",HR Management; Org Behavior,
Node js Developer,"javascript, node.js, express, npm, asynchronous programming, backend, REST API, typescript, mongoDB",,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
